START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
08/14/16,01:07 PM,01:07 PM,Astros at Blue Jays,Rogers Centre - Toronto,"",08/14/16,08/14/16,04:07 PM,04:07 PM,FALSE,TRUE,08/14/16,12:07 PM,12:07 PM,FREE,BUSY
08/15/16,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",08/15/16,08/15/16,,,FALSE,TRUE,08/15/16,,,FREE,BUSY
08/16/16,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",08/16/16,08/16/16,,,FALSE,TRUE,08/16/16,,,FREE,BUSY
08/17/16,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",08/17/16,08/17/16,,,FALSE,TRUE,08/17/16,,,FREE,BUSY
08/19/16,,,Blue Jays at Indians - Time TBD,Progressive Field - Cleveland,"",08/19/16,08/19/16,,,FALSE,TRUE,08/19/16,,,FREE,BUSY
08/20/16,,,Blue Jays at Indians - Time TBD,Progressive Field - Cleveland,"",08/20/16,08/20/16,,,FALSE,TRUE,08/20/16,,,FREE,BUSY
08/21/16,,,Blue Jays at Indians - Time TBD,Progressive Field - Cleveland,"",08/21/16,08/21/16,,,FALSE,TRUE,08/21/16,,,FREE,BUSY
08/23/16,07:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre - Toronto,"",08/23/16,08/23/16,10:07 PM,10:07 PM,FALSE,TRUE,08/23/16,06:07 PM,06:07 PM,FREE,BUSY
08/24/16,07:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre - Toronto,"",08/24/16,08/24/16,10:07 PM,10:07 PM,FALSE,TRUE,08/24/16,06:07 PM,06:07 PM,FREE,BUSY
08/25/16,07:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre - Toronto,"",08/25/16,08/25/16,10:07 PM,10:07 PM,FALSE,TRUE,08/25/16,06:07 PM,06:07 PM,FREE,BUSY
08/26/16,07:07 PM,07:07 PM,Twins at Blue Jays,Rogers Centre - Toronto,"",08/26/16,08/26/16,10:07 PM,10:07 PM,FALSE,TRUE,08/26/16,06:07 PM,06:07 PM,FREE,BUSY
08/27/16,01:07 PM,01:07 PM,Twins at Blue Jays,Rogers Centre - Toronto,"",08/27/16,08/27/16,04:07 PM,04:07 PM,FALSE,TRUE,08/27/16,12:07 PM,12:07 PM,FREE,BUSY
08/28/16,01:07 PM,01:07 PM,Twins at Blue Jays,Rogers Centre - Toronto,"",08/28/16,08/28/16,04:07 PM,04:07 PM,FALSE,TRUE,08/28/16,12:07 PM,12:07 PM,FREE,BUSY
08/29/16,,,Blue Jays at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",08/29/16,08/29/16,,,FALSE,TRUE,08/29/16,,,FREE,BUSY
08/30/16,,,Blue Jays at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",08/30/16,08/30/16,,,FALSE,TRUE,08/30/16,,,FREE,BUSY
08/31/16,,,Blue Jays at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",08/31/16,08/31/16,,,FALSE,TRUE,08/31/16,,,FREE,BUSY
09/02/16,,,Blue Jays at Rays - Time TBD,Tropicana Field - St. Petersburg,"",09/02/16,09/02/16,,,FALSE,TRUE,09/02/16,,,FREE,BUSY
09/03/16,,,Blue Jays at Rays - Time TBD,Tropicana Field - St. Petersburg,"",09/03/16,09/03/16,,,FALSE,TRUE,09/03/16,,,FREE,BUSY
09/04/16,,,Blue Jays at Rays - Time TBD,Tropicana Field - St. Petersburg,"",09/04/16,09/04/16,,,FALSE,TRUE,09/04/16,,,FREE,BUSY
09/05/16,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",09/05/16,09/05/16,,,FALSE,TRUE,09/05/16,,,FREE,BUSY
09/06/16,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",09/06/16,09/06/16,,,FALSE,TRUE,09/06/16,,,FREE,BUSY
09/07/16,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",09/07/16,09/07/16,,,FALSE,TRUE,09/07/16,,,FREE,BUSY
09/09/16,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",09/09/16,09/09/16,10:07 PM,10:07 PM,FALSE,TRUE,09/09/16,06:07 PM,06:07 PM,FREE,BUSY
09/10/16,,,Red Sox at Blue Jays - Time TBD,Rogers Centre - Toronto,"",09/10/16,09/10/16,,,FALSE,TRUE,09/10/16,,,FREE,BUSY
09/11/16,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",09/11/16,09/11/16,04:07 PM,04:07 PM,FALSE,TRUE,09/11/16,12:07 PM,12:07 PM,FREE,BUSY
09/12/16,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",09/12/16,09/12/16,10:07 PM,10:07 PM,FALSE,TRUE,09/12/16,06:07 PM,06:07 PM,FREE,BUSY
09/13/16,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",09/13/16,09/13/16,10:07 PM,10:07 PM,FALSE,TRUE,09/13/16,06:07 PM,06:07 PM,FREE,BUSY
09/14/16,12:37 PM,12:37 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",09/14/16,09/14/16,03:37 PM,03:37 PM,FALSE,TRUE,09/14/16,11:37 AM,11:37 AM,FREE,BUSY
09/15/16,,,Blue Jays at Angels - Time TBD,Angel Stadium of Anaheim - Anaheim,"",09/15/16,09/15/16,,,FALSE,TRUE,09/15/16,,,FREE,BUSY
09/16/16,,,Blue Jays at Angels - Time TBD,Angel Stadium of Anaheim - Anaheim,"",09/16/16,09/16/16,,,FALSE,TRUE,09/16/16,,,FREE,BUSY
09/17/16,,,Blue Jays at Angels - Time TBD,Angel Stadium of Anaheim - Anaheim,"",09/17/16,09/17/16,,,FALSE,TRUE,09/17/16,,,FREE,BUSY
09/18/16,,,Blue Jays at Angels - Time TBD,Angel Stadium of Anaheim - Anaheim,"",09/18/16,09/18/16,,,FALSE,TRUE,09/18/16,,,FREE,BUSY
09/19/16,10:10 PM,10:10 PM,Blue Jays at Mariners,Safeco Field - Seattle,"",09/20/16,09/20/16,01:10 AM,01:10 AM,FALSE,TRUE,09/19/16,09:10 PM,09:10 PM,FREE,BUSY
09/20/16,10:10 PM,10:10 PM,Blue Jays at Mariners,Safeco Field - Seattle,"",09/21/16,09/21/16,01:10 AM,01:10 AM,FALSE,TRUE,09/20/16,09:10 PM,09:10 PM,FREE,BUSY
09/21/16,03:40 PM,03:40 PM,Blue Jays at Mariners,Safeco Field - Seattle,"",09/21/16,09/21/16,06:40 PM,06:40 PM,FALSE,TRUE,09/21/16,02:40 PM,02:40 PM,FREE,BUSY
09/23/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",09/23/16,09/23/16,10:07 PM,10:07 PM,FALSE,TRUE,09/23/16,06:07 PM,06:07 PM,FREE,BUSY
09/24/16,,,Yankees at Blue Jays - Time TBD,Rogers Centre - Toronto,"",09/24/16,09/24/16,,,FALSE,TRUE,09/24/16,,,FREE,BUSY
09/25/16,01:07 PM,01:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",09/25/16,09/25/16,04:07 PM,04:07 PM,FALSE,TRUE,09/25/16,12:07 PM,12:07 PM,FREE,BUSY
09/26/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",09/26/16,09/26/16,10:07 PM,10:07 PM,FALSE,TRUE,09/26/16,06:07 PM,06:07 PM,FREE,BUSY
09/27/16,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",09/27/16,09/27/16,10:07 PM,10:07 PM,FALSE,TRUE,09/27/16,06:07 PM,06:07 PM,FREE,BUSY
09/28/16,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",09/28/16,09/28/16,10:07 PM,10:07 PM,FALSE,TRUE,09/28/16,06:07 PM,06:07 PM,FREE,BUSY
09/29/16,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",09/29/16,09/29/16,10:07 PM,10:07 PM,FALSE,TRUE,09/29/16,06:07 PM,06:07 PM,FREE,BUSY
09/30/16,,,Blue Jays at Red Sox - Time TBD,Fenway Park - Boston,"",09/30/16,09/30/16,,,FALSE,TRUE,09/30/16,,,FREE,BUSY
10/01/16,,,Blue Jays at Red Sox - Time TBD,Fenway Park - Boston,"",10/01/16,10/01/16,,,FALSE,TRUE,10/01/16,,,FREE,BUSY
10/02/16,,,Blue Jays at Red Sox - Time TBD,Fenway Park - Boston,"",10/02/16,10/02/16,,,FALSE,TRUE,10/02/16,,,FREE,BUSY
