START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/14/16,,,Blue Jays at Rangers - Time TBD,Globe Life Park in Arlington - Arlington,"",05/14/16,05/14/16,,,FALSE,TRUE,05/14/16,,,FREE,BUSY
05/15/16,,,Blue Jays at Rangers - Time TBD,Globe Life Park in Arlington - Arlington,"",05/15/16,05/15/16,,,FALSE,TRUE,05/15/16,,,FREE,BUSY
05/16/16,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",05/16/16,05/16/16,10:07 PM,10:07 PM,FALSE,TRUE,05/16/16,06:07 PM,06:07 PM,FREE,BUSY
05/17/16,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",05/17/16,05/17/16,10:07 PM,10:07 PM,FALSE,TRUE,05/17/16,06:07 PM,06:07 PM,FREE,BUSY
05/18/16,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",05/18/16,05/18/16,10:07 PM,10:07 PM,FALSE,TRUE,05/18/16,06:07 PM,06:07 PM,FREE,BUSY
05/19/16,,,Blue Jays at Twins - Time TBD,Target Field - Minneapolis,"",05/19/16,05/19/16,,,FALSE,TRUE,05/19/16,,,FREE,BUSY
05/20/16,,,Blue Jays at Twins - Time TBD,Target Field - Minneapolis,"",05/20/16,05/20/16,,,FALSE,TRUE,05/20/16,,,FREE,BUSY
05/21/16,,,Blue Jays at Twins - Time TBD,Target Field - Minneapolis,"",05/21/16,05/21/16,,,FALSE,TRUE,05/21/16,,,FREE,BUSY
05/22/16,,,Blue Jays at Twins - Time TBD,Target Field - Minneapolis,"",05/22/16,05/22/16,,,FALSE,TRUE,05/22/16,,,FREE,BUSY
05/24/16,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/24/16,05/24/16,,,FALSE,TRUE,05/24/16,,,FREE,BUSY
05/25/16,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/25/16,05/25/16,,,FALSE,TRUE,05/25/16,,,FREE,BUSY
05/26/16,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/26/16,05/26/16,,,FALSE,TRUE,05/26/16,,,FREE,BUSY
05/27/16,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",05/27/16,05/27/16,10:07 PM,10:07 PM,FALSE,TRUE,05/27/16,06:07 PM,06:07 PM,FREE,BUSY
05/28/16,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",05/28/16,05/28/16,04:07 PM,04:07 PM,FALSE,TRUE,05/28/16,12:07 PM,12:07 PM,FREE,BUSY
05/29/16,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",05/29/16,05/29/16,04:07 PM,04:07 PM,FALSE,TRUE,05/29/16,12:07 PM,12:07 PM,FREE,BUSY
05/30/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",05/30/16,05/30/16,10:07 PM,10:07 PM,FALSE,TRUE,05/30/16,06:07 PM,06:07 PM,FREE,BUSY
05/31/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",05/31/16,05/31/16,10:07 PM,10:07 PM,FALSE,TRUE,05/31/16,06:07 PM,06:07 PM,FREE,BUSY
06/01/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/01/16,06/01/16,10:07 PM,10:07 PM,FALSE,TRUE,06/01/16,06:07 PM,06:07 PM,FREE,BUSY
06/03/16,,,Blue Jays at Red Sox - Time TBD,Fenway Park - Boston,"",06/03/16,06/03/16,,,FALSE,TRUE,06/03/16,,,FREE,BUSY
06/04/16,,,Blue Jays at Red Sox - Time TBD,Fenway Park - Boston,"",06/04/16,06/04/16,,,FALSE,TRUE,06/04/16,,,FREE,BUSY
06/05/16,,,Blue Jays at Red Sox - Time TBD,Fenway Park - Boston,"",06/05/16,06/05/16,,,FALSE,TRUE,06/05/16,,,FREE,BUSY
06/06/16,07:08 PM,07:08 PM,Blue Jays at Tigers,Comerica Park - Detroit,"",06/06/16,06/06/16,10:08 PM,10:08 PM,FALSE,TRUE,06/06/16,06:08 PM,06:08 PM,FREE,BUSY
06/07/16,07:08 PM,07:08 PM,Blue Jays at Tigers,Comerica Park - Detroit,"",06/07/16,06/07/16,10:08 PM,10:08 PM,FALSE,TRUE,06/07/16,06:08 PM,06:08 PM,FREE,BUSY
06/08/16,01:08 PM,01:08 PM,Blue Jays at Tigers,Comerica Park - Detroit,"",06/08/16,06/08/16,04:08 PM,04:08 PM,FALSE,TRUE,06/08/16,12:08 PM,12:08 PM,FREE,BUSY
06/09/16,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/09/16,06/09/16,10:07 PM,10:07 PM,FALSE,TRUE,06/09/16,06:07 PM,06:07 PM,FREE,BUSY
06/10/16,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/10/16,06/10/16,10:07 PM,10:07 PM,FALSE,TRUE,06/10/16,06:07 PM,06:07 PM,FREE,BUSY
06/11/16,01:07 PM,01:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/11/16,06/11/16,04:07 PM,04:07 PM,FALSE,TRUE,06/11/16,12:07 PM,12:07 PM,FREE,BUSY
06/12/16,01:07 PM,01:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/12/16,06/12/16,04:07 PM,04:07 PM,FALSE,TRUE,06/12/16,12:07 PM,12:07 PM,FREE,BUSY
06/13/16,07:07 PM,07:07 PM,Phillies at Blue Jays,Rogers Centre - Toronto,"",06/13/16,06/13/16,10:07 PM,10:07 PM,FALSE,TRUE,06/13/16,06:07 PM,06:07 PM,FREE,BUSY
06/14/16,12:37 PM,12:37 PM,Phillies at Blue Jays,Rogers Centre - Toronto,"",06/14/16,06/14/16,03:37 PM,03:37 PM,FALSE,TRUE,06/14/16,11:37 AM,11:37 AM,FREE,BUSY
06/15/16,07:05 PM,07:05 PM,Blue Jays at Phillies,Citizens Bank Park - Philadelphia,"",06/15/16,06/15/16,10:05 PM,10:05 PM,FALSE,TRUE,06/15/16,06:05 PM,06:05 PM,FREE,BUSY
06/16/16,07:05 PM,07:05 PM,Blue Jays at Phillies,Citizens Bank Park - Philadelphia,"",06/16/16,06/16/16,10:05 PM,10:05 PM,FALSE,TRUE,06/16/16,06:05 PM,06:05 PM,FREE,BUSY
06/17/16,,,Blue Jays at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",06/17/16,06/17/16,,,FALSE,TRUE,06/17/16,,,FREE,BUSY
06/18/16,,,Blue Jays at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",06/18/16,06/18/16,,,FALSE,TRUE,06/18/16,,,FREE,BUSY
06/19/16,,,Blue Jays at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",06/19/16,06/19/16,,,FALSE,TRUE,06/19/16,,,FREE,BUSY
06/21/16,07:07 PM,07:07 PM,D-backs at Blue Jays,Rogers Centre - Toronto,"",06/21/16,06/21/16,10:07 PM,10:07 PM,FALSE,TRUE,06/21/16,06:07 PM,06:07 PM,FREE,BUSY
06/22/16,04:07 PM,04:07 PM,D-backs at Blue Jays,Rogers Centre - Toronto,"",06/22/16,06/22/16,07:07 PM,07:07 PM,FALSE,TRUE,06/22/16,03:07 PM,03:07 PM,FREE,BUSY
06/24/16,,,Blue Jays at White Sox - Time TBD,U.S. Cellular Field - Chicago,"",06/24/16,06/24/16,,,FALSE,TRUE,06/24/16,,,FREE,BUSY
06/25/16,,,Blue Jays at White Sox - Time TBD,U.S. Cellular Field - Chicago,"",06/25/16,06/25/16,,,FALSE,TRUE,06/25/16,,,FREE,BUSY
06/26/16,,,Blue Jays at White Sox - Time TBD,U.S. Cellular Field - Chicago,"",06/26/16,06/26/16,,,FALSE,TRUE,06/26/16,,,FREE,BUSY
06/27/16,08:40 PM,08:40 PM,Blue Jays at Rockies,Coors Field - Denver,"",06/27/16,06/27/16,11:40 PM,11:40 PM,FALSE,TRUE,06/27/16,07:40 PM,07:40 PM,FREE,BUSY
06/28/16,08:40 PM,08:40 PM,Blue Jays at Rockies,Coors Field - Denver,"",06/28/16,06/28/16,11:40 PM,11:40 PM,FALSE,TRUE,06/28/16,07:40 PM,07:40 PM,FREE,BUSY
06/29/16,03:10 PM,03:10 PM,Blue Jays at Rockies,Coors Field - Denver,"",06/29/16,06/29/16,06:10 PM,06:10 PM,FALSE,TRUE,06/29/16,02:10 PM,02:10 PM,FREE,BUSY
06/30/16,07:07 PM,07:07 PM,Indians at Blue Jays,Rogers Centre - Toronto,"",06/30/16,06/30/16,10:07 PM,10:07 PM,FALSE,TRUE,06/30/16,06:07 PM,06:07 PM,FREE,BUSY
07/01/16,01:07 PM,01:07 PM,Indians at Blue Jays,Rogers Centre - Toronto,"",07/01/16,07/01/16,04:07 PM,04:07 PM,FALSE,TRUE,07/01/16,12:07 PM,12:07 PM,FREE,BUSY
07/02/16,01:07 PM,01:07 PM,Indians at Blue Jays,Rogers Centre - Toronto,"",07/02/16,07/02/16,04:07 PM,04:07 PM,FALSE,TRUE,07/02/16,12:07 PM,12:07 PM,FREE,BUSY
07/03/16,01:07 PM,01:07 PM,Indians at Blue Jays,Rogers Centre - Toronto,"",07/03/16,07/03/16,04:07 PM,04:07 PM,FALSE,TRUE,07/03/16,12:07 PM,12:07 PM,FREE,BUSY
07/04/16,07:07 PM,07:07 PM,Royals at Blue Jays,Rogers Centre - Toronto,"",07/04/16,07/04/16,10:07 PM,10:07 PM,FALSE,TRUE,07/04/16,06:07 PM,06:07 PM,FREE,BUSY
07/05/16,07:07 PM,07:07 PM,Royals at Blue Jays,Rogers Centre - Toronto,"",07/05/16,07/05/16,10:07 PM,10:07 PM,FALSE,TRUE,07/05/16,06:07 PM,06:07 PM,FREE,BUSY
07/06/16,07:07 PM,07:07 PM,Royals at Blue Jays,Rogers Centre - Toronto,"",07/06/16,07/06/16,10:07 PM,10:07 PM,FALSE,TRUE,07/06/16,06:07 PM,06:07 PM,FREE,BUSY
07/07/16,07:07 PM,07:07 PM,Tigers at Blue Jays,Rogers Centre - Toronto,"",07/07/16,07/07/16,10:07 PM,10:07 PM,FALSE,TRUE,07/07/16,06:07 PM,06:07 PM,FREE,BUSY
